	Anastasia4 son	Nicolas II Romanov	Tatiana Romanov	Anastasia2	Suspected body of Anastasia Romanov	Alexei Romanov	Princess Irene	Olga Romanov	Anastasia3	Maria Romanov	Anastasia1	Anastasia5	Grigori Rasputin	Prince Fred	Alexandra Romanov	Farmer s grandson
Anastasia4 son	0.0	0.913	0.92	0.692	0.6539999999999999	0.33299999999999996	0.4620000000000001	0.615	0.538	0.5	0.692	0.667	0.808	0.346	0.6799999999999999	0.538
Nicolas II Romanov	0.913	0.0	1.0	0.962	0.962	0.905	0.962	0.96	0.923	0.96	0.885	0.957	0.846	0.923	0.938	0.962
Tatiana Romanov	0.92	1.0	0.0	0.846	0.885	0.958	0.808	0.667	0.923	0.909	0.846	1.0	0.962	0.885	0.714	0.885
Anastasia2	0.692	0.962	0.846	0.0	0.769	0.692	0.577	0.615	0.615	0.692	0.692	0.692	0.846	0.6539999999999999	0.923	0.769
Suspected body of Anastasia Romanov	0.6539999999999999	0.962	0.885	0.769	0.0	0.692	0.615	0.692	0.769	0.692	0.769	0.346	0.885	0.615	0.769	0.269
Alexei Romanov	0.33299999999999996	0.905	0.958	0.692	0.692	0.0	0.538	0.7310000000000001	0.4620000000000001	0.538	0.6539999999999999	0.609	0.885	0.30799999999999994	0.708	0.6539999999999999
Princess Irene	0.4620000000000001	0.962	0.808	0.577	0.615	0.538	0.0	0.42299999999999993	0.6539999999999999	0.538	0.7310000000000001	0.6539999999999999	0.769	0.30799999999999994	0.692	0.538
Olga Romanov	0.615	0.96	0.667	0.615	0.692	0.7310000000000001	0.42299999999999993	0.0	0.6539999999999999	0.542	0.692	0.769	0.923	0.538	0.652	0.7310000000000001
Anastasia3	0.538	0.923	0.923	0.615	0.769	0.4620000000000001	0.6539999999999999	0.6539999999999999	0.0	0.5	0.6539999999999999	0.808	0.769	0.346	0.692	0.6539999999999999
Maria Romanov	0.5	0.96	0.909	0.692	0.692	0.538	0.538	0.542	0.5	0.0	0.769	0.692	0.808	0.30799999999999994	0.846	0.577
Anastasia1	0.692	0.885	0.846	0.692	0.769	0.6539999999999999	0.7310000000000001	0.692	0.6539999999999999	0.769	0.0	0.808	0.885	0.6539999999999999	0.6539999999999999	0.7310000000000001
Anastasia5	0.667	0.957	1.0	0.692	0.346	0.609	0.6539999999999999	0.769	0.808	0.692	0.808	0.0	0.885	0.692	0.885	0.4620000000000001
Grigori Rasputin	0.808	0.846	0.962	0.846	0.885	0.885	0.769	0.923	0.769	0.808	0.885	0.885	0.0	0.769	0.923	0.769
Prince Fred	0.346	0.923	0.885	0.6539999999999999	0.615	0.30799999999999994	0.30799999999999994	0.538	0.346	0.30799999999999994	0.6539999999999999	0.692	0.769	0.0	0.6539999999999999	0.5
Alexandra Romanov	0.6799999999999999	0.938	0.714	0.923	0.769	0.708	0.692	0.652	0.692	0.846	0.6539999999999999	0.885	0.923	0.6539999999999999	0.0	0.7310000000000001
Farmer s grandson	0.538	0.962	0.885	0.769	0.269	0.6539999999999999	0.538	0.7310000000000001	0.6539999999999999	0.577	0.7310000000000001	0.4620000000000001	0.769	0.5	0.7310000000000001	0.0
