	Princess Irene	Prince Fred	Nicolas II Romanov	Alexandra Romanov	Olga Romanov	Tatiana Romanov	Maria Romanov	Alexei Romanov	Suspected body of Anastasia Romanov	Anastasia1	Anastasia2	Anastasia3	Anastasia4 son	Anastasia5	Farmer s grandson	Grigori Rasputin
Princess Irene	0.000	0.304	1.000	0.648	0.365	0.755	0.531	0.497	0.627	0.760	0.574	0.657	0.456	0.621	0.559	0.877
Prince Fred	0.304	0.000	0.959	0.588	0.508	0.891	0.281	0.243	0.627	0.681	0.672	0.353	0.313	0.672	0.520	0.887
Nicolas II Romanov	1.000	0.959	0.000	0.796	0.939	0.778	0.963	0.879	0.986	0.891	0.959	0.939	0.884	0.942	0.986	0.850
Alexandra Romanov	0.648	0.588	0.796	0.000	0.560	0.528	0.810	0.627	0.709	0.606	0.909	0.630	0.603	0.846	0.673	0.988
Olga Romanov	0.365	0.508	0.939	0.560	0.000	0.530	0.531	0.684	0.683	0.683	0.587	0.661	0.594	0.728	0.735	0.989
Tatiana Romanov	0.755	0.891	0.778	0.528	0.530	0.000	0.911	0.962	0.878	0.830	0.803	0.952	0.942	1.000	0.891	0.986
Maria Romanov	0.531	0.281	0.963	0.810	0.531	0.911	0.000	0.452	0.708	0.755	0.729	0.479	0.443	0.639	0.583	0.891
Alexei Romanov	0.497	0.243	0.879	0.627	0.684	0.962	0.452	0.000	0.656	0.677	0.698	0.423	0.267	0.583	0.635	0.979
Suspected body of Anastasia Romanov	0.627	0.627	0.986	0.709	0.683	0.878	0.708	0.656	0.000	0.779	0.750	0.745	0.651	0.292	0.304	0.985
Anastasia1	0.760	0.681	0.891	0.606	0.683	0.830	0.755	0.677	0.779	0.000	0.676	0.672	0.718	0.805	0.750	0.990
Anastasia2	0.574	0.672	0.959	0.909	0.587	0.803	0.729	0.698	0.750	0.676	0.000	0.613	0.718	0.687	0.770	0.873
Anastasia3	0.657	0.353	0.939	0.630	0.661	0.952	0.479	0.423	0.745	0.672	0.613	0.000	0.518	0.795	0.637	0.828
Anastasia4 son	0.456	0.313	0.884	0.603	0.594	0.942	0.443	0.267	0.651	0.718	0.718	0.518	0.000	0.624	0.528	0.903
Anastasia5	0.621	0.672	0.942	0.846	0.728	1.000	0.639	0.583	0.292	0.805	0.687	0.795	0.624	0.000	0.415	0.944
Farmer s grandson	0.559	0.520	0.986	0.673	0.735	0.891	0.583	0.635	0.304	0.750	0.770	0.637	0.528	0.415	0.000	0.858
Grigori Rasputin	0.877	0.887	0.850	0.988	0.989	0.986	0.891	0.979	0.985	0.990	0.873	0.828	0.903	0.944	0.858	0.000
